mcap_file_name,mcap_file_path,mcap_file_size_B,duration_s,num_images,num_imu,num_joint_states,num_joint_commands,num_game_states,num_messages
ID_donna_2024-07-19T16:30:37_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T16:30:37/ID_donna_2024-07-19T16:30:37_0.mcap,3827601913,689.85832,6894,14677,229438,50319,9,301337
ID_jack_2024-07-19T11:31:28_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T11:31:28/ID_jack_2024-07-19T11:31:28_0.mcap,4478390511,752.840411,7507,22429,238060,81748,1145,350889
ID_jack_2024-07-17T15:38:04_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-17T15:38:04/ID_jack_2024-07-17T15:38:04_0.mcap,3138210528,534.731386,5344,14663,172547,39795,653,233002
ID_rory_2024-07-18T13:29:30_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-18T13:29:30/ID_rory_2024-07-18T13:29:30_0.mcap,6697620137,1177.131614,11773,35295,432722,98340,2203,580333
ID_donna_2024-07-19T11:48:16_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T11:48:16/ID_donna_2024-07-19T11:48:16_0.mcap,6078742915,1052.640304,10348,27254,323056,91688,1469,453815
ID_rory_2024-07-18T13:54:46_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-18T13:54:46/ID_rory_2024-07-18T13:54:46_0.mcap,4783609692,812.466902,8121,23802,304084,87568,1094,424669
ID_jack_2024-07-20T11:08:32_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-20T11:08:32/ID_jack_2024-07-20T11:08:32_0.mcap,2690415936,519.973002,5106,15718,148721,42988,5,212538
ID_jack_2024-07-19T09:50:25_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T09:50:25/ID_jack_2024-07-19T09:50:25_0.mcap,2735066076,503.35115,5037,15193,161601,48047,9,229887
ID_jack_2024-07-19T17:27:57_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T17:27:57/ID_jack_2024-07-19T17:27:57_0.mcap,2610388254,443.492562,4436,13026,143474,39286,841,201063
ID_donna_2024-07-18T18:29:22_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T18:29:22/ID_donna_2024-07-18T18:29:22_0.mcap,383807564,65.272368,652,1927,19465,1656,114,23814
ID_jack_2024-07-18T18:29:35_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T18:29:35/ID_jack_2024-07-18T18:29:35_0.mcap,305530462,54.1694,544,1617,17347,1452,89,21049
ID_donna_2024-07-18T18:31:02_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T18:31:02/ID_donna_2024-07-18T18:31:02_0.mcap,4782161250,807.742413,8071,24464,225670,60586,1350,320141
ID_jack_2024-07-18T18:42:01_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T18:42:01/ID_jack_2024-07-18T18:42:01_0.mcap,256069440,43.044205,431,1305,14197,1401,66,17400
ID_donna_2024-07-19T16:17:13_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T16:17:13/ID_donna_2024-07-19T16:17:13_0.mcap,4481937619,778.636859,7785,20903,232523,68490,16,329717
ID_donna_2024-07-19T11:30:19_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T11:30:19/ID_donna_2024-07-19T11:30:19_0.mcap,4847486512,818.370216,8167,24552,227650,86901,1239,348509
ID_jack_2024-07-19T17:58:04_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T17:58:04/ID_jack_2024-07-19T17:58:04_0.mcap,1122783559,191.904575,1915,5653,61152,13523,315,82558
ID_donna_2024-07-18T19:28:32_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T19:28:32/ID_donna_2024-07-18T19:28:32_0.mcap,1534898148,286.211011,2847,5979,97220,12408,433,118887
ID_jack_2024-07-18T18:47:57_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T18:47:57/ID_jack_2024-07-18T18:47:57_0.mcap,1288114849,223.820623,2224,6735,70764,8917,343,88983
ID_jack_2024-07-20T15:56:08_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-20T15:56:08/ID_jack_2024-07-20T15:56:08_0.mcap,2785842711,472.662643,4705,14177,157451,14047,894,191274
ID_rory_2024-07-20T15:27:30_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-20T15:27:30/ID_rory_2024-07-20T15:27:30_0.mcap,2044686560,343.263891,3431,10389,123193,29600,640,167253
ID_rory_2024-07-18T13:52:36_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-18T13:52:36/ID_rory_2024-07-18T13:52:36_0.mcap,227527605,39.836062,395,1189,16533,1203,42,19362
ID_jack_2024-07-18T18:38:45_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T18:38:45/ID_jack_2024-07-18T18:38:45_0.mcap,569266283,97.951616,961,2918,32989,4632,149,41649
ID_donna_2024-07-18T18_47_16_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T18:47:16/ID_donna_2024-07-18T18_47_16_0.mcap,5403733752,909.863546,9075,27532,251413,91718,1448,381186
ID_rory_2024-07-20T15:45:49_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-20T15:45:49/ID_rory_2024-07-20T15:45:49_0.mcap,6208342819,1046.317537,10436,31499,381361,83928,1980,509204
ID_rory_2024-07-20T15:34:27_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-20T15:34:27/ID_rory_2024-07-20T15:34:27_0.mcap,1225563757,219.325031,2064,6048,87140,15276,414,110942
ID_amy_2024-07-18T10:26:27_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_amy_2024-07-18T10:26:27/ID_amy_2024-07-18T10:26:27_0.mcap,1679162016,284.671149,2838,8590,80757,10373,461,103019
ID_jack_2024-07-19T11:47:41_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T11:47:41/ID_jack_2024-07-19T11:47:41_0.mcap,4477545489,760.291409,7587,22714,250432,47818,995,329546
ID_rory_2024-07-19T17:45:15_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-19T17:45:15/ID_rory_2024-07-19T17:45:15_0.mcap,9971871251,1903.966492,19021,33990,804510,84391,3296,945208
ID_donna_2024-07-18T19:48:52_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T19:48:52/ID_donna_2024-07-18T19:48:52_0.mcap,3725641172,627.522371,6257,18976,173575,77755,1206,277769
ID_donna_2024-07-19T17:11:35_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T17:11:35/ID_donna_2024-07-19T17:11:35_0.mcap,880657275,150.60607,1489,9040,41372,10752,3,62656
ID_rory_2024-07-19T17:27:54_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-19T17:27:54/ID_rory_2024-07-19T17:27:54_0.mcap,4922398895,848.398491,8467,25084,313302,57498,1613,405964
ID_jack_2024-07-19T11:29:50_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T11:29:50/ID_jack_2024-07-19T11:29:50_0.mcap,314537850,54.883329,530,1598,17453,1315,16,20912
ID_donna_2024-07-18T15:29:51_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T15:29:51/ID_donna_2024-07-18T15:29:51_0.mcap,1009634155,191.532538,1726,5400,57349,13593,360,78428
ID_donna_2024-07-19T17:05:54_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T17:05:54/ID_donna_2024-07-19T17:05:54_0.mcap,502812965,87.8219,856,2601,24385,1876,1,29719
ID_jack_2024-07-20T15:27:14_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-20T15:27:14/ID_jack_2024-07-20T15:27:14_0.mcap,1407732999,238.856775,2384,7228,79518,12359,445,101934
ID_donna_2024-07-20T15:26:55_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-20T15:26:55/ID_donna_2024-07-20T15:26:55_0.mcap,4690844678,1328.308035,8319,32363,420297,69109,2499,532587
ID_jack_2024-07-18T19:56:19_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T19:56:19/ID_jack_2024-07-18T19:56:19_0.mcap,737387576,127.977935,1246,3746,27946,8453,173,41564
ID_rory_2024-07-18T10:50:54_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_rory_2024-07-18T10:50:54/ID_rory_2024-07-18T10:50:54_0.mcap,2235822165,377.547782,3754,11410,136152,41498,676,193490
ID_donna_2024-07-20T15:49:20_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-20T15:49:20/ID_donna_2024-07-20T15:49:20_0.mcap,829094201,152.009072,1481,3663,41924,3928,292,51288
ID_donna_2024-07-19T17:45:13_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T17:45:13/ID_donna_2024-07-19T17:45:13_0.mcap,4505198438,802.05883,7970,20529,246796,59169,1330,335794
ID_jack_2024-07-19T18:01:33_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-19T18:01:33/ID_jack_2024-07-19T18:01:33_0.mcap,198982162,35.146186,349,1049,10666,1048,48,13160
ID_donna_2024-07-18T15:21:13_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-18T15:21:13/ID_donna_2024-07-18T15:21:13_0.mcap,2384914483,462.736454,4010,13982,129227,48359,864,196442
ID_jack_2024-07-20T11:19:40_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-20T11:19:40/ID_jack_2024-07-20T11:19:40_0.mcap,1857667130,313.165768,3119,9473,100838,32138,8,145576
ID_jack_2024-07-17T18:34:41_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-17T18:34:41/ID_jack_2024-07-17T18:34:41_0.mcap,5278584996,906.990968,9048,25284,179544,57636,1707,273219
ID_jack_2024-07-18T19:51:25_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T19:51:25/ID_jack_2024-07-18T19:51:25_0.mcap,749376507,129.411914,1266,3835,28127,7492,187,40907
ID_amy_2024-07-18T10:32:52_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_amy_2024-07-18T10:32:52/ID_amy_2024-07-18T10:32:52_0.mcap,1956088731,344.510585,3295,10088,117523,18569,439,149914
ID_jack_2024-07-17T15:35:46_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-17T15:35:46/ID_jack_2024-07-17T15:35:46_0.mcap,369470583,63.770792,627,1843,3,497,73,3043
ID_jack_2024-07-20T15:48:43_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-20T15:48:43/ID_jack_2024-07-20T15:48:43_0.mcap,1583632709,282.45081,2691,5904,79510,12933,525,101563
ID_donna_2024-07-19T17:35:46_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T17:35:46/ID_donna_2024-07-19T17:35:46_0.mcap,2246917040,392.261814,3928,10949,115042,38071,727,168717
ID_donna_2024-07-19T18:00:20_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_donna_2024-07-19T18:00:20/ID_donna_2024-07-19T18:00:20_0.mcap,1501052682,285.274424,2843,6398,93821,15964,451,119477
ID_jack_2024-07-18T19:28:29_0.mcap,/srv/data/data.bit-bots.de/ROSbags/robocup_2024/ID_jack_2024-07-18T19:28:29/ID_jack_2024-07-18T19:28:29_0.mcap,3371444918,569.347083,5695,17140,121907,57180,925,202847
